day,nitrogen_dioxide,ozone,sulphur_dioxide
1.0,36.70487,31.63185,4.70744
2.0,52.34669,46.25035,8.53618
3.0,22.15812,46.99874,5.59524
4.0,17.34566,49.59315,2.94622
5.0,19.47079,51.75515,2.65282
6.0,44.70879,37.46927,3.53872
7.0,49.31784,28.6383,4.42543
8.0,47.07385,24.79657,5.31296
9.0,65.89102,39.06583,6.4966
10.0,43.09449,35.22411,3.24979
11.0,33.45956,67.95359,7.98041
12.0,66.17566,71.8452,4.7313
13.0,59.10378,50.99014,5.32516
14.0,54.17927,54.28304,6.21344
15.0,60.71221,37.18654,6.80602
16.0,48.66119,47.84691,6.21495
17.0,51.2177,68.85165,5.03176
18.0,63.32824,70.79746,6.21646
19.0,21.95658,72.5437,7.99356
20.0,15.04858,79.87789,10.06719
21.0,57.29219,87.67775,6.81098
22.0,60.03468,60.02068,4.14632
23.0,63.15503,63.96219,5.62783
24.0,61.09828,63.41337,4.7398
25.0,73.62542,56.81093,6.81429
26.0,74.12847,56.22885,9.18559
27.0,54.12702,37.0535,3.24378
28.0,38.26062,66.25724,4.41896
29.0,36.90613,78.78026,4.12028
30.0,30.06101,53.8839,4.1162
31.0,41.17151,54.98154,7.63678
32.0,48.96103,41.16131,6.45548
33.0,56.86701,55.13121,4.69023
34.0,32.86837,55.97939,
35.0,47.23167,46.89895,
36.0,54.98438,64.59416,0.79827
37.0,45.21339,49.09422,1.32866
38.0,13.27334,78.88004,0.53075
39.0,32.12726,71.1966,1.06006
40.0,38.7286,70.99703,0.52931
41.0,37.26644,72.94284,1.05719
42.0,57.12081,62.39889,1.3197
43.0,41.11516,69.45036,1.58292
44.0,27.06987,68.60219,0.7911
45.0,27.24905,72.14456,0.52716
46.0,35.62934,77.08391,0.79038
47.0,29.53218,65.15961,0.52668
48.0,17.03787,77.58284,0.78967
49.0,31.43016,78.97983,0.78931
50.0,23.32558,72.5437,0.52597
51.0,20.99568,74.5394,0.78859
52.0,54.60572,71.59574,1.05098
53.0,62.48724,34.87486,1.31313
54.0,30.14693,83.22069,0.78752
55.0,24.13216,75.88649,1.31193
56.0,85.79458,85.31618,2.88493
57.0,89.55641,83.22069,5.5134
58.0,88.77008,83.56994,6.30766
59.0,34.56684,58.92304,1.31548
60.0,42.78769,,1.31686
61.0,57.03926,,2.37283
62.0,55.28099,,3.16709
63.0,39.74569,73.89079,1.5852
64.0,29.33984,75.28778,0.79343
65.0,37.38985,76.68477,1.58852
66.0,88.79008,76.28563,4.24047
67.0,79.96207,56.27874,2.38775
68.0,61.87034,75.188,2.65582
69.0,18.494,72.59359,1.32929
70.0,15.18967,72.84305,1.86565
71.0,37.14246,76.83445,1.87029
72.0,26.43524,84.468,1.87493
73.0,17.89548,72.4938,2.14808
74.0,54.50724,86.01467,1.34587
75.0,52.44454,67.60434,
76.0,41.91765,69.79961,
77.0,44.90494,61.76692,
78.0,21.66566,80.07746,
79.0,36.70921,63.8624,
80.0,61.09817,81.72392,
81.0,57.38577,71.8452,
82.0,63.54189,77.38327,
83.0,50.91056,68.10326,
84.0,32.14547,78.03187,
85.0,22.64714,84.61768,
86.0,14.07346,85.26628,
87.0,8.76373,85.71532,
88.0,46.0616,92.94973,
89.0,115.25671,111.90888,
90.0,110.24807,79.77811,
91.0,96.69443,76.78456,
92.0,10.64586,85.01682,
93.0,13.77423,86.56349,
94.0,32.17317,94.34672,
95.0,25.33332,86.06456,
96.0,24.45265,76.38542,
97.0,44.72906,74.43961,
98.0,38.8274,73.94069,
99.0,29.54341,81.62413,
100.0,17.97066,76.43531,
101.0,71.64621,80.4766,
102.0,87.37062,82.92134,
103.0,81.00593,76.63488,
104.0,71.05592,87.26198,
105.0,30.46354,81.42456,
106.0,39.26243,89.55704,
107.0,42.48645,93.34887,
108.0,61.10888,99.98457,
109.0,63.12346,93.34887,
110.0,88.26578,92.55059,
111.0,64.37457,84.66757,
112.0,31.18251,77.33338,
113.0,43.12153,80.02757,
114.0,37.54562,101.23188,
115.0,19.89896,89.25768,
116.0,28.58175,91.25338,
117.0,67.11334,94.54629,
118.0,38.70001,96.19274,
119.0,28.95824,92.70027,
120.0,53.75237,92.70027,
121.0,43.16076,94.04736,
122.0,55.66939,94.84564,
123.0,18.74059,99.1364,
124.0,21.74446,85.8151,
125.0,34.6388,70.84735,
126.0,37.03154,81.8237,
127.0,43.85491,81.87359,
128.0,20.31072,76.83445,
129.0,20.5087,63.11401,
130.0,19.21575,86.26413,
131.0,37.31251,93.09941,
132.0,19.24392,91.65252,
133.0,46.48241,66.5067,
134.0,34.74923,78.33123,
135.0,22.09843,84.86714,
136.0,37.76214,76.4852,
137.0,37.44677,69.40047,
138.0,30.99623,71.24649,
139.0,43.74681,81.92349,
140.0,34.20445,77.73252,
141.0,10.20595,74.98843,
142.0,46.20577,73.54155,
143.0,23.57773,93.89769,
144.0,26.77245,105.82199,
145.0,23.85252,78.68047,
146.0,37.17088,86.06456,
147.0,60.09012,98.08866,
148.0,58.60809,85.1665,
149.0,43.91564,99.33597,
150.0,17.90326,93.7979,
151.0,29.83643,111.26028,
152.0,35.89921,139.00051,
153.0,60.18572,138.95061,
154.0,32.20374,95.09511,1.63881
155.0,26.11661,51.04003,0.81981
156.0,26.12091,109.81339,1.367
157.0,21.06196,70.24864,1.09413
158.0,15.65448,95.54414,1.64199
159.0,25.85687,104.52479,1.64279
160.0,20.29868,100.58328,1.09572
161.0,11.73092,58.72347,0.82219
162.0,9.21235,63.11401,1.37098
163.0,48.12711,87.36177,1.09731
164.0,39.70755,109.56393,1.09784
165.0,36.35985,91.75231,1.09837
166.0,27.49018,124.83104,1.64836
167.0,36.1712,99.48565,2.74859
168.0,24.22669,66.60649,1.64995
169.0,19.05182,56.77767,0.55052
170.0,15.83179,58.17466,0.8266
171.0,13.38985,62.71487,1.37902
172.0,18.53976,67.50455,1.38037
173.0,15.21619,68.5523,0.82904
174.0,29.83714,92.75016,1.93631
175.0,43.18402,65.25939,1.38444
176.0,18.51499,76.08606,1.38579
177.0,16.89807,82.82155,1.38715
178.0,27.32729,87.11231,0.8331
179.0,24.99397,60.76907,0.83391
180.0,19.58364,59.17251,1.66945
181.0,26.92807,64.71057,1.11274
182.0,55.65375,83.22069,1.33045
183.0,21.42,88.40951,0.53218
184.0,27.54,67.05552,0.79827
185.0,7.07625,60.66928,0.53218
186.0,11.475,73.8409,0.79827
187.0,13.19625,57.07702,1.06436
188.0,10.13625,61.46756,0.79827
189.0,15.10875,60.46971,1.06436
190.0,14.9175,76.43531,1.06436
191.0,44.7525,44.90325,1.33045
192.0,30.6,70.64778,1.06436
193.0,48.76875,67.65423,1.06436
